Category,16-24,25-34,35-44,45-54,55-64,65-74,75+,All,Group,Category_Encoded,Group_Encoded
0-5,0.13008276358402304,0.06315687037757883,0.05361404705080123,0.05117254232023606,0.052532371742337325,0.06554749451661886,0.07616174945800734,0.009044852921673166,Men,0,1
6-11,0.018351925152932713,0.004963020630595563,0.007159904534606204,0.006600403789408293,0.007703655138501885,0.006664417074405263,0.011028372136864925,0.0010742420625447602,Men,4,1
Under 12,0.15599136379992803,0.07522382249902687,0.06657006478008866,0.06258735828544805,0.064989346008851,0.07516450143411506,0.0882269770949194,0.010875043102304978,Men,9,1
12-17,0.0012594458438287158,0.0,0.0,0.0,0.0,8.43597098025982e-05,0.0029220473183146386,0.0,Men,2,1
18 or more,0.0,0.00038925652004670984,0.0012785543811796802,0.0006212144742972509,0.002704474676282577,0.0,0.0,7.957348611442681e-05,Women,3,2
12 or more,0.00881612090680101,0.007687816270922539,0.007074667575860893,0.005435626650100948,0.007457793804294379,0.0031213092626961357,0.0039589028183617675,0.0008487838518872178,Women,1,2
0-5,0.0955379632961497,0.05157648890618918,0.04807364473235595,0.040689548066469954,0.04671365349942632,0.05795512063438501,0.06928079932133092,0.007652316914670698,Women,0,2
6-11,0.022490104354084203,0.012748151031529781,0.008012274122059324,0.00970647616089455,0.010080314702507788,0.009532647207693604,0.013479121500612685,0.0015384207315455823,Women,4,2
Under 12,0.1255847427132062,0.07152588555858312,0.06188203204909649,0.055210436403168195,0.06154728732994591,0.07044035768516956,0.08379677632199074,0.009959948011989073,All Adults,9,0
12-17,0.012054695933789134,0.0030167380303620086,0.002216160927378111,0.0031060723714862546,0.003278151122766761,0.0037961869411169214,0.0037703836365350165,0.0004641786690008224,All Adults,2,0
18 or more,0.019611370996761426,0.0011677695601401321,0.0037504261847937257,0.004892063985090853,0.002868382232420916,0.0010123165176311785,0.003581864454708266,0.0005304899074295114,All Adults,3,0
12 or more,0.03922274199352285,0.011385753211366294,0.01176270030685305,0.012812548532380804,0.010899852483199475,0.007845453011641638,0.008389103591290413,0.001763878942203125,All Adults,1,0
0-5,0.11317020510975172,0.05731802257687816,0.05080122741220593,0.04589221928870943,0.04958203573184723,0.06158258815589673,0.07210858704873219,0.008328691546643324,All Adults,0,0
6-11,0.02033105433609212,0.008855585831062673,0.007586089328332764,0.008153439975151422,0.008932961809539418,0.008098532141049435,0.012442266000565557,0.0013129625208880401,All Adults,4,0
Under 12,0.1412378553436488,0.07337485402880499,0.06418342993521992,0.058860071439664555,0.0631863628913293,0.07271806984983971,0.08558770854934489,0.010410864433304155,All Adults,9,0
12-17,0.006477150053976251,0.001557026080186842,0.001108080463689055,0.0015530361857431273,0.0016390755613833801,0.00194027332545976,0.0033933452728815154,0.00023872045834328,All Adults,2,0
18 or more,0.009535804246131704,0.0007785130400934205,0.0025571087623593594,0.002795465134337631,0.002786428454351745,0.0005061582588155897,0.002073711000094259,0.000305031696771969,All Adults,3,0
12 or more,0.023569629363080248,0.009536784741144416,0.009461302420729626,0.009162913495884455,0.009260776921816097,0.005567740846971485,0.006598171363936279,0.0013129625208880401,All Adults,1,0
Basesb ,0.022490104354084203,0.009536784741144416,0.008012274122059324,0.009162913495884455,0.009260776921816097,0.007845453011641638,0.011028372136864925,0.0013129625208880401,All Adults,6,0
All,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,All Adults,5,0
"a CIS-R score represents severity of overall neurotic symptoms, with a higher score indicating more severe symptoms. A score of 12 or more indicates symptoms of anxiety and depression of a level likely to benefit from acknowledgement and possible intervention; 18+ indicates severe symptoms that would almost certainly benefit from intervention and treatment. See Section 2.2 for a description of the CIS-R.",0.022490104354084203,0.009536784741144416,0.008012274122059324,0.009162913495884455,0.009260776921816097,0.007845453011641638,0.011028372136864925,0.0013129625208880401,All Adults,10,0
"b All bases in this report are presented as unweighted, unless stated otherwise.",0.022490104354084203,0.009536784741144416,0.008012274122059324,0.009162913495884455,0.009260776921816097,0.007845453011641638,0.011028372136864925,0.0013129625208880401,All Adults,11,0
"Source: APMS 2014, NHS Digital",0.022490104354084203,0.009536784741144416,0.008012274122059324,0.009162913495884455,0.009260776921816097,0.007845453011641638,0.011028372136864925,0.0013129625208880401,All Adults,8,0
"Copyright © 2016, Health and Social Care Information Centre.",0.022490104354084203,0.009536784741144416,0.008012274122059324,0.009162913495884455,0.009260776921816097,0.007845453011641638,0.011028372136864925,0.0013129625208880401,All Adults,7,0
