Crime type,Year,Percentage,End_Year
Burglary,Jan 1992 to Dec 1992,19.0,1992
Burglary,Jan 1994 to Dec 1994,26.0,1994
Burglary,Jan 1996 to Dec 1996,22.125462213727698,1996
Burglary,Jan 1998 to Dec 1998,19.3,1998
Car crime,Jan 1998 to Dec 1998,22.3,1998
Violent crime,Jan 1998 to Dec 1998,24.6,1998
Burglary,Jan 2000 to Dec 2000,19.2,2000
Car crime,Jan 2000 to Dec 2000,21.0,2000
Violent crime,Jan 2000 to Dec 2000,23.7,2000
Burglary,Apr 2001 to Mar 2002,15.2,2001
Car crime,Apr 2001 to Mar 2002,17.3,2001
Violent crime,Apr 2001 to Mar 2002,21.8,2001
Burglary,Apr 2002 to Mar 2003,14.8,2002
Car crime,Apr 2002 to Mar 2003,16.6,2002
Violent crime,Apr 2002 to Mar 2003,20.8,2002
Burglary,Apr 2003 to Mar 2004,12.6,2003
Car crime,Apr 2003 to Mar 2004,14.9,2003
Violent crime,Apr 2003 to Mar 2004,16.3,2003
Burglary,Apr 2004 to Mar 2005,12.1,2004
Car crime,Apr 2004 to Mar 2005,13.4,2004
Violent crime,Apr 2004 to Mar 2005,16.3,2004
Burglary,Apr 2005 to Mar 2006,12.7,2005
Car crime,Apr 2005 to Mar 2006,13.7,2005
Violent crime,Apr 2005 to Mar 2006,17.2,2005
Burglary,Apr 2006 to Mar 2007,12.63948601095236,2006
Car crime,Apr 2006 to Mar 2007,13.010669132345331,2006
Violent crime,Apr 2006 to Mar 2007,17.080921961168958,2006
Burglary,Apr 2007 to Mar 2008,11.546421788828553,2007
Car crime,Apr 2007 to Mar 2008,11.939733644303969,2007
Violent crime,Apr 2007 to Mar 2008,14.928696909860797,2007
Burglary,Apr 2008 to Mar 2009 [note 4],11.21200102743822,2008
Car crime,Apr 2008 to Mar 2009 [note 4],11.407549002686435,2008
Violent crime,Apr 2008 to Mar 2009 [note 4],13.577426826433973,2008
Burglary,Apr 2009 to Mar 2010,10.177656241489759,2009
Car crime,Apr 2009 to Mar 2010,10.122714049066197,2009
Violent crime,Apr 2009 to Mar 2010,12.88926195370865,2009
Burglary,Apr 2010 to Mar 2011,10.359201654732814,2010
Car crime,Apr 2010 to Mar 2011,9.837738321002846,2010
Violent crime,Apr 2010 to Mar 2011,13.176233605656487,2010
Burglary,Apr 2011 to Mar 2012,11.447058717003722,2011
Car crime,Apr 2011 to Mar 2012,9.944148238829605,2011
Violent crime,Apr 2011 to Mar 2012,13.754123791307224,2011
Burglary,Apr  2012 to Mar 2013,11.91537284804752,2012
Car crime,Apr  2012 to Mar 2013,6.789854268307454,2012
Violent crime,Apr  2012 to Mar 2013,12.03573123675676,2012
Burglary,Apr 2013 to Mar 2014,11.071148139202155,2013
Car crime,Apr 2013 to Mar 2014,6.8106701520302275,2013
Violent crime,Apr 2013 to Mar 2014,12.09345200476723,2013
Burglary,Apr 2014 to Mar 2015,9.705865814211819,2014
Car crime,Apr 2014 to Mar 2015,6.873377800669243,2014
Violent crime,Apr 2014 to Mar 2015,11.085468346125122,2014
Burglary,Apr 2015 to Mar 2016,10.666253594147404,2015
Car crime,Apr 2015 to Mar 2016,6.042805903138234,2015
Violent crime,Apr 2015 to Mar 2016,11.526388407668694,2015
Burglary,Apr 2016 to Mar 2017,10.210727497417663,2016
Car crime,Apr 2016 to Mar 2017,7.037160612738017,2016
Violent crime,Apr 2016 to Mar 2017,10.946604874373692,2016
Burglary,Apr 2017 to Mar 2018,10.05996377713454,2017
Car crime,Apr 2017 to Mar 2018,6.670565421333786,2017
Violent crime,Apr 2017 to Mar 2018,11.857166776661026,2017
Burglary,Apr 2018 to Mar 2019,9.835853303718162,2018
Car crime,Apr 2018 to Mar 2019,6.6632760395148765,2018
Fraud [note 5],Apr 2018 to Mar 2019,19.443121521972014,2018
Violent crime,Apr 2018 to Mar 2019,9.497210920766852,2018
Burglary,Apr 2019 to Mar 2020,9.922277783793872,2019
Car crime,Apr 2019 to Mar 2020,6.818675205725905,2019
Fraud [note 5],Apr 2019 to Mar 2020,18.93605741813484,2019
Violent crime,Apr 2019 to Mar 2020,8.466514741681475,2019
Burglary,Apr 2022 to Mar 2023,7.789778477023855,2022
Car crime,Apr 2022 to Mar 2023,5.417960869596299,2022
Fraud [note 5],Apr 2022 to Mar 2023,15.815442379468106,2022
Violent crime,Apr 2022 to Mar 2023,7.682224595789376,2022
Burglary,Apr 2023 to Mar 2024,7.364805307639657,2023
Car crime,Apr 2023 to Mar 2024,6.255133540220776,2023
Fraud [note 5],Apr 2023 to Mar 2024,16.1221184424519,2023
Violent crime,Apr 2023 to Mar 2024,7.562797501066175,2023
