Crime type,Year,Percentage,End_Year,YoY_Change
Burglary,Jan 1992 to Dec 1992,19.0,1992,
Burglary,Jan 1994 to Dec 1994,26.0,1994,7.0
Burglary,Jan 1996 to Dec 1996,22.125462213727698,1996,-3.8745377862723025
Burglary,Jan 1998 to Dec 1998,19.3,1998,-2.825462213727697
Burglary,Jan 2000 to Dec 2000,19.2,2000,-0.10000000000000142
Burglary,Apr 2001 to Mar 2002,15.2,2001,-4.0
Burglary,Apr 2002 to Mar 2003,14.8,2002,-0.3999999999999986
Burglary,Apr 2003 to Mar 2004,12.6,2003,-2.200000000000001
Burglary,Apr 2004 to Mar 2005,12.1,2004,-0.5
Burglary,Apr 2005 to Mar 2006,12.7,2005,0.5999999999999996
Burglary,Apr 2006 to Mar 2007,12.63948601095236,2006,-0.06051398904763872
Burglary,Apr 2007 to Mar 2008,11.546421788828553,2007,-1.0930642221238074
Burglary,Apr 2008 to Mar 2009 [note 4],11.21200102743822,2008,-0.3344207613903336
Burglary,Apr 2009 to Mar 2010,10.177656241489759,2009,-1.034344785948461
Burglary,Apr 2010 to Mar 2011,10.359201654732814,2010,0.18154541324305562
Burglary,Apr 2011 to Mar 2012,11.447058717003722,2011,1.087857062270908
Burglary,Apr  2012 to Mar 2013,11.91537284804752,2012,0.4683141310437975
Burglary,Apr 2013 to Mar 2014,11.071148139202155,2013,-0.8442247088453652
Burglary,Apr 2014 to Mar 2015,9.705865814211819,2014,-1.3652823249903356
Burglary,Apr 2015 to Mar 2016,10.666253594147404,2015,0.9603877799355853
Burglary,Apr 2016 to Mar 2017,10.210727497417663,2016,-0.4555260967297414
Burglary,Apr 2017 to Mar 2018,10.05996377713454,2017,-0.15076372028312335
Burglary,Apr 2018 to Mar 2019,9.835853303718162,2018,-0.2241104734163777
Burglary,Apr 2019 to Mar 2020,9.922277783793872,2019,0.08642448007570991
Burglary,Apr 2022 to Mar 2023,7.789778477023855,2022,-2.1324993067700166
Burglary,Apr 2023 to Mar 2024,7.364805307639657,2023,-0.4249731693841978
