ICB_NAME,Drug_Category,Total_Items,Total_Quantity,Total_Cost
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,Antidepressant,705082,21733414.0,1237189.33298
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,Antidepressant,487995,16803050.0,1005366.07032
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,Antidepressant,461712,16431545.0,995490.63168
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,Antidepressant,378183,13212006.0,820747.34766
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,Antidepressant,291508,10486612.0,564424.62624
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,Antidepressant,283926,9900594.0,546467.33375
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,Antidepressant,274899,9517659.0,453453.738
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,Antidepressant,255960,11144831.0,767940.72084
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,Antidepressant,245946,9482930.0,564896.35243
NHS SUSSEX INTEGRATED CARE BOARD,Antidepressant,235109,9218745.0,658314.58783
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,Antidepressant,200445,7073254.0,468164.03054
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,Antidepressant,193557,5890116.0,392287.40221000003
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",Antidepressant,192638,7978573.0,513944.09871
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,Antidepressant,186513,6437421.0,439613.46651
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,Antidepressant,185976,6075442.0,428751.09179
NHS DEVON INTEGRATED CARE BOARD,Antidepressant,184840,7429186.0,461213.9148
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,Antidepressant,182126,7044018.0,386559.78082
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,Antidepressant,178820,6403205.0,444066.07617
