Year,Persons_Deaths,Persons_Rate,Male_Deaths,Male_Rate,Female_Deaths,Female_Rate
2024.0,6190.0,11.4,4599.0,17.6,1591.0,5.7
2023.0,6069.0,11.3,4506.0,17.4,1563.0,5.7
2022.0,5642.0,10.7,4179.0,16.4,1463.0,5.4
2021.0,5583.0,10.7,4129.0,16.2,1454.0,5.4
2020.0,5224.0,10.0,3925.0,15.5,1299.0,4.8
2019.0,5691.0,10.9,4303.0,17.0,1388.0,5.2
2018.0,5420.0,10.5,4097.0,16.3,1323.0,5.0
2017.0,4840.0,9.4,3629.0,14.5,1211.0,4.6
2016.0,4941.0,9.6,3770.0,15.1,1171.0,4.5
2015.0,5199.0,10.3,3901.0,15.8,1298.0,5.0
2014.0,5158.0,10.3,3926.0,16.0,1232.0,4.8
2013.0,5145.0,10.3,4024.0,16.6,1121.0,4.4
2012.0,4887.0,9.8,3778.0,15.6,1109.0,4.4
2011.0,4880.0,9.9,3706.0,15.4,1174.0,4.7
2010.0,4519.0,9.3,3412.0,14.4,1107.0,4.5
2009.0,4677.0,9.6,3554.0,15.0,1123.0,4.5
2008.0,4595.0,9.5,3490.0,14.9,1105.0,4.5
2007.0,4313.0,9.0,3301.0,14.2,1012.0,4.2
2006.0,4507.0,9.5,3382.0,14.8,1125.0,4.7
2005.0,4705.0,10.0,3482.0,15.4,1223.0,5.1
2004.0,4874.0,10.5,3578.0,16.0,1296.0,5.5
2003.0,4798.0,10.4,3580.0,16.0,1218.0,5.2
2002.0,4758.0,10.3,3537.0,15.8,1221.0,5.2
2001.0,4896.0,10.7,3696.0,16.8,1200.0,5.1
2000.0,5070.0,11.1,3771.0,17.2,1299.0,5.6
1999.0,5235.0,11.5,3964.0,18.2,1271.0,5.5
1998.0,5339.0,11.7,4041.0,18.3,1298.0,5.6
1997.0,4816.0,10.7,3567.0,16.5,1249.0,5.5
1996.0,4901.0,10.9,3661.0,17.1,1240.0,5.4
1995.0,5116.0,11.5,3843.0,17.9,1273.0,5.6
1994.0,5077.0,11.5,3781.0,17.9,1296.0,5.7
1993.0,5169.0,11.8,3811.0,18.1,1358.0,6.1
1992.0,5459.0,12.5,4043.0,19.4,1416.0,6.4
1991.0,5470.0,12.5,4049.0,19.3,1421.0,6.5
1990.0,5525.0,12.8,4035.0,19.5,1490.0,6.8
1989.0,5303.0,12.4,3770.0,18.4,1533.0,7.0
1988.0,5917.0,14.0,4159.0,20.9,1758.0,8.1
1987.0,5533.0,13.3,3802.0,19.3,1731.0,8.1
1986.0,5670.0,13.8,3809.0,19.8,1861.0,8.7
1985.0,5841.0,14.3,3796.0,19.6,2045.0,9.8
1984.0,5584.0,13.9,3601.0,18.9,1983.0,9.5
1983.0,5521.0,13.8,3535.0,18.8,1986.0,9.5
1982.0,5622.0,14.1,3523.0,18.9,2099.0,10.1
1981.0,5740.0,14.5,3562.0,19.2,2178.0,10.5
